Datum;KielerWoche
16.06.2012;1
17.06.2012;1
18.06.2012;1
19.06.2012;1
20.06.2012;1
21.06.2012;1
22.06.2012;1
23.06.2012;1
24.06.2012;1
22.06.2013;1
23.06.2013;1
24.06.2013;1
25.06.2013;1
26.06.2013;1
27.06.2013;1
28.06.2013;1
29.06.2013;1
30.06.2013;1
21.06.2014;1
22.06.2014;1
23.06.2014;1
24.06.2014;1
25.06.2014;1
26.06.2014;1
27.06.2014;1
28.06.2014;1
29.06.2014;1
20.06.2015;1
21.06.2015;1
22.06.2015;1
23.06.2015;1
24.06.2015;1
25.06.2015;1
26.06.2015;1
27.06.2015;1
28.06.2015;1
18.06.2016;1
19.06.2016;1
20.06.2016;1
21.06.2016;1
22.06.2016;1
23.06.2016;1
24.06.2016;1
25.06.2016;1
26.06.2016;1
17.06.2017;1
18.06.2017;1
19.06.2017;1
20.06.2017;1
21.06.2017;1
22.06.2017;1
23.06.2017;1
24.06.2017;1
25.06.2017;1
16.06.2018;1
17.06.2018;1
18.06.2018;1
19.06.2018;1
20.06.2018;1
21.06.2018;1
22.06.2018;1
23.06.2018;1
24.06.2018;1
22.06.2019;1
23.06.2019;1
24.06.2019;1
25.06.2019;1
26.06.2019;1
27.06.2019;1
28.06.2019;1
29.06.2019;1
30.06.2019;1
